Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"heat production, heavy fuel oil, at industrial furnace 1MW",0.00282,kg CO2 eq,125,4,104,raw materials/ingredients,Switzerland,heat production
"Cooking, industrial, 1kg of cooked product (AGB 3.0)/",0.03872,kg CO2 eq,126,1,0,raw materials/ingredients,France,Cooking
"Boiling, industrial, 1kg of boiled product, for cooking",0.01809,kg CO2 eq,127,2,126,raw materials/ingredients,France,Boiling
"Gas boiling, industrial, 1kg of boiled product, for boiling",0.01702,kg CO2 eq,128,3,127,raw materials/ingredients,France,Gas boiling
"heat production, natural gas, MODIFIED <100kW",0.01686,kg CO2 eq,129,4,128,raw materials/ingredients,Europe without Switzerland,heat production
"natural gas, low pressure",0.00379,kg CO2 eq,130,5,129,raw materials/ingredients,Rest-of-World,natural gas
"Deep-frying, industrial, 1kg of deep-fried product, for cooking",0.01299,kg CO2 eq,131,2,126,raw materials/ingredients,France,Deep-frying
"rape oil, crude",0.00895,kg CO2 eq,132,3,131,raw materials/ingredients,Switzerland,rape oil
"electricity, medium voltage",0.00356,kg CO2 eq,133,3,131,raw materials/ingredients,France,electricity
"Oven baking, industrial, 1kg of oven-baked product, for cooking",0.00764,kg CO2 eq,134,2,126,raw materials/ingredients,France,Oven baking
"electricity, medium voltage",0.00764,kg CO2 eq,135,3,134,raw materials/ingredients,France,electricity
"Tomato, for processing, peeled, at plant",0.02736,kg CO2 eq,136,1,0,raw materials/ingredients,France,Tomato
"Processed tomatoes, consumption mix",0.02709,kg CO2 eq,137,2,136,raw materials/ingredients,France,Processed tomatoes
"Tomato, conventional, soil based, non-heated greenhouse, at greenhouse",0.01988,kg CO2 eq,138,3,137,raw materials/ingredients,France,Tomato
"Tomato, seedling (phase), conventional, soil based prod., national average, at p",0.00926,kg CO2 eq,139,4,138,raw materials/ingredients,France,Tomato
"natural gas, burned in furnace >100kW of greenhouse/MJ",0.0085,kg CO2 eq,140,5,139,raw materials/ingredients,Europe,natural gas
Plastic tunnel/m2,0.00275,kg CO2 eq,141,4,138,raw materials/ingredients,France,Plastic tunnel/m2
"transport, freight, lorry 16-32 metric ton, EURO6",0.00547,kg CO2 eq,142,3,137,raw materials/ingredients,Europe,transport
"Wheat flour, at industrial mill",0.02495,kg CO2 eq,143,1,0,raw materials/ingredients,France,Wheat flour
