Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"transport, freight, lorry 7.5-16 metric ton, EURO3",0.0024570269,kg CO2 eq,202,3,200,-,Europe,transport
"electricity, low voltage",0.1239541309,kg CO2 eq,203,1,0,-,Europe,electricity
"Sugar, from sugar beet, at sugar refinery (WFLDB 3.1)",0.0657229719,kg CO2 eq,204,1,0,-,Global,Sugar
"Sugar beet, at farm (WFLDB 3.1)",0.040173121,kg CO2 eq,205,2,204,-,Global,Sugar beet
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0139494526,kg CO2 eq,206,3,205,-,United States,Sugar beet
"Irrigating, sprinkler, diesel powered",0.0026737475,kg CO2 eq,207,4,206,-,Global,Irrigating
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0124469591,kg CO2 eq,208,3,205,-,Russia,Sugar beet
ammonium nitrate production,0.0020738858,kg CO2 eq,209,4,208,-,Europe,ammonium nitrate production
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0074058756,kg CO2 eq,210,3,205,-,France,Sugar beet
"Diesel, burned in agricultural machinery (WFLDB 3.1)",0.0021172476,kg CO2 eq,211,4,210,-,Global,Diesel
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0063708336,kg CO2 eq,212,3,205,-,Germany,Sugar beet
"heat production, natural gas, at industrial furnace >100kW",0.012010114,kg CO2 eq,213,2,204,-,Europe without Switzerland,heat production
"electricity, medium voltage",0.008005212,kg CO2 eq,214,2,204,-,Europe,electricity
"transport, freight train",0.0021555884,kg CO2 eq,215,2,204,-,Europe without Switzerland,transport
"transport, tractor and trailer, agricultural",0.0020089602,kg CO2 eq,216,2,204,-,Switzerland,transport
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.0424058849,kg CO2 eq,217,1,0,-,Europe without Switzerland,heat production
"Soybean oil, at oil mill",0.0075837547,kg CO2 eq,218,1,0,-,Global,Soybean oil
"Soybean oil, at oil mill (WFLDB 3.1)",0.0054790174,kg CO2 eq,219,2,218,-,Argentina,Soybean oil
"Soybean, at farm (WFLDB 3.1)",0.0053758052,kg CO2 eq,220,3,219,-,Argentina,Soybean
"Land use change, annual crop (WFLDB 3.1)",0.0051413218,kg CO2 eq,221,4,220,-,Argentina,Land use change
"clear-cutting, secondary forest to arable land",0.0047171898,kg CO2 eq,222,5,221,-,Argentina,clear-cutting
"transport, freight, lorry, unspecified",0.0064961059,kg CO2 eq,223,1,0,-,Europe,transport
"transport, freight, sea, transoceanic ship",0.0055976553,kg CO2 eq,224,1,0,-,Global,transport
"transport, freight train",0.0023727314,kg CO2 eq,225,1,0,-,Europe without Switzerland,transport
