Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00118,kg CO2 eq,48,9,35,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00106,kg CO2 eq,49,10,48,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00105,kg CO2 eq,50,11,49,raw materials/ingredients,France,Rapeseed
"Pig,French average,growing feed,conv prod, at farm gate/kg",0.02538,kg CO2 eq,51,7,6,raw materials/ingredients,France,Pig
"Pig,French average,growing feed,purchased part,conv prod, at farm gate/kg",0.01784,kg CO2 eq,52,8,51,raw materials/ingredients,France,Pig
Soft wheat grain stored and transported,0.00786,kg CO2 eq,53,9,52,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00762,kg CO2 eq,54,10,53,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00092,kg CO2 eq,55,11,54,raw materials/ingredients,France,Average mineral fertilizer
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00419,kg CO2 eq,56,9,52,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00388,kg CO2 eq,57,10,56,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00367,kg CO2 eq,58,11,57,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00326,kg CO2 eq,59,12,58,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00302,kg CO2 eq,60,13,59,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00241,kg CO2 eq,61,14,60,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00186,kg CO2 eq,62,15,61,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00061,kg CO2 eq,63,14,60,raw materials/ingredients,Brazil,Soybean grain
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00177,kg CO2 eq,64,9,52,raw materials/ingredients,France,Maize grain
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00175,kg CO2 eq,65,9,52,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00158,kg CO2 eq,66,10,65,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00155,kg CO2 eq,67,11,66,raw materials/ingredients,France,Rapeseed
"L-Lysine HCl, animal feed, at retailer gate",0.00057,kg CO2 eq,68,9,52,raw materials/ingredients,France,L-Lysine HCl
"L-Lysine HCl, processing",0.00057,kg CO2 eq,69,10,68,raw materials/ingredients,France,L-Lysine HCl
"transport, freight, lorry >32 metric ton, EURO3",0.00055,kg CO2 eq,70,9,52,raw materials/ingredients,Europe,transport
"Pig,French average,growing feed,on-farm part,conv prod, at farm gate/FR/kg/U",0.00754,kg CO2 eq,71,8,51,raw materials/ingredients,France,Pig
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00327,kg CO2 eq,72,9,71,raw materials/ingredients,France,Soft wheat grain
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00179,kg CO2 eq,73,9,71,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00166,kg CO2 eq,74,10,73,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00157,kg CO2 eq,75,11,74,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.0014,kg CO2 eq,76,12,75,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00129,kg CO2 eq,77,13,76,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00103,kg CO2 eq,78,14,77,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0008,kg CO2 eq,79,15,78,raw materials/ingredients,Brazil,clear-cutting
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00076,kg CO2 eq,80,9,71,raw materials/ingredients,France,Maize grain
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00075,kg CO2 eq,81,9,71,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00068,kg CO2 eq,82,10,81,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00067,kg CO2 eq,83,11,82,raw materials/ingredients,France,Rapeseed
"Weaned piglet,French average,WP 2nd phase feed,conv prod, at farm gate/kg",0.01582,kg CO2 eq,84,7,6,raw materials/ingredients,France,Weaned piglet
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00721,kg CO2 eq,85,8,84,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00668,kg CO2 eq,86,9,85,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00632,kg CO2 eq,87,10,86,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00561,kg CO2 eq,88,11,87,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00519,kg CO2 eq,89,12,88,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00415,kg CO2 eq,90,13,89,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0032,kg CO2 eq,91,14,90,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00105,kg CO2 eq,92,13,89,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0008,kg CO2 eq,93,14,92,raw materials/ingredients,Brazil,clear-cutting
"transport, freight, sea, transoceanic ship",0.00053,kg CO2 eq,94,9,85,raw materials/ingredients,Global,transport
Soft wheat grain stored and transported,0.0057,kg CO2 eq,95,8,84,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00553,kg CO2 eq,96,9,95,raw materials/ingredients,France,Soft wheat grain
