Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"heat production, natural gas, at industrial furnace >100kW",0.00073,kg CO2 eq,20,9,19,raw materials/ingredients,Rest-of-World,heat production
"transport, freight, sea, transoceanic ship",0.00165,kg CO2 eq,21,7,6,raw materials/ingredients,Global,transport
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.01314,kg CO2 eq,22,6,5,raw materials/ingredients,France,Silage maize
"Harvesting silage grass, with hay chopper and blower/hr",0.00095,kg CO2 eq,23,7,22,raw materials/ingredients,France,Harvesting silage grass
"Diesel combustion, in tractor/kg",0.00075,kg CO2 eq,24,8,23,raw materials/ingredients,France,Diesel combustion
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00491,kg CO2 eq,25,6,5,raw materials/ingredients,France,Grazed grass
Soft wheat grain stored and transported,0.00426,kg CO2 eq,26,6,5,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00413,kg CO2 eq,27,7,26,raw materials/ingredients,France,Soft wheat grain
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00283,kg CO2 eq,28,6,5,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00191,kg CO2 eq,29,6,5,raw materials/ingredients,Switzerland,heat production
"Bovine feed,MAT18, at farm gate | Bovine feed, MAT18, at farm gate",0.00085,kg CO2 eq,30,6,5,raw materials/ingredients,France,Bovine feed
"Bovine feed,CMV 5-25-5, at farm gate/kg",0.00069,kg CO2 eq,31,6,5,raw materials/ingredients,France,Bovine feed
"Cow milk, conventional, lowland milk system, silage maize 10 to 30%, at farm gat",0.05756,kg CO2 eq,32,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00641,kg CO2 eq,33,6,32,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00594,kg CO2 eq,34,7,33,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00562,kg CO2 eq,35,8,34,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00499,kg CO2 eq,36,9,35,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00462,kg CO2 eq,37,10,36,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00369,kg CO2 eq,38,11,37,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00285,kg CO2 eq,39,12,38,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00093,kg CO2 eq,40,11,37,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00071,kg CO2 eq,41,12,40,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.00374,kg CO2 eq,42,6,32,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00276,kg CO2 eq,43,6,32,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00118,kg CO2 eq,44,6,32,raw materials/ingredients,France,Soft wheat grain
"Cow milk, conventional, highland milk system, grass fed, at farm gate",0.05465,kg CO2 eq,45,5,4,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, permanent meadow, without clover, Auvergne, at fa",0.00399,kg CO2 eq,46,6,45,raw materials/ingredients,France,Grass silage
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.00192,kg CO2 eq,47,6,45,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00153,kg CO2 eq,48,6,45,raw materials/ingredients,France,Soft wheat grain
